暴龍	暴龍 🦖
海翁	海翁 🐳 🐋
海豬	海豬 🐬
海豹	海豹 🦭
魚	魚 🐟
魚仔	魚仔 🐟
熱帶魚	熱帶魚 🐠
河豚	河豚 🐡
鯊魚	鯊魚 🦈
章魚	章魚 🐙
螺	螺 🐚
珊瑚	珊瑚 🪸
水母	水母 🪼
䖳	䖳 🪼
海䖳	海䖳 🪼
露螺	露螺 🐌
蝶仔	蝶仔 🦋
蝴蝶	蝴蝶 🦋
蟲	蟲 🐛
蟲豸	蟲豸 🐛
bug	bug 🐛
狗蟻	狗蟻 🐜
蜜蜂	蜜蜂 🐝
蜂	蜂 🐝
甲蟲	甲蟲 🪲
瓢蟲	瓢蟲 🐞
草蜢	草蜢 🦗
灶雞	灶雞 🦗
虼蚻	虼蚻 🪳
蜘蛛	蜘蛛 🕷
蟧蜈	蟧蜈 🕷
蜘蛛網	蜘蛛網 🕸
蠍仔	蠍仔 🦂
蠓	蠓 🦟
蠓仔	蠓仔 🦟
胡蠅	胡蠅 🪰
杜蚓仔	杜蚓仔 🪱
微生物	微生物 🦠
細菌	細菌 🦠
病毒	病毒 🦠
生花球	生花球 💐
櫻花	櫻花 🌸
白花	白花 💮
蓮花	蓮花 🪷
玫瑰	玫瑰 🌹
蔫去	蔫去 🥀
徛黃	徛黃	🥀
扶桑花	扶桑花 🌺
向日葵	向日葵 🌻
太陽花	太陽花 🌻
花蕊	花蕊 🌼
開花	開花 🌼
花	花 🌷
鬱金香	鬱金香 🌷
風信子	風信子 🪻
發芽	發芽 🌱
發穎	發穎 🌱
盆栽	盆栽 🪴
松	松 🌲
樹	樹 🌳
棕櫚樹	棕櫚樹 🌴
仙人掌	仙人掌 🌵
稻穗	稻穗 🌾
藥草	藥草 🌿
四葉草	四葉草 🍀
楓葉	楓葉 🍁
落葉	落葉 🍂
葉仔	葉仔 🍃
空岫	空岫 🪹
鳥仔岫	鳥仔岫 🪺
菇	菇 🍄
葡萄	葡萄 🍇
瓜仔	瓜仔 🍈
哈密瓜	哈密瓜 🍈
西瓜	西瓜 🍉
柑仔	柑仔 🍊
檸檬	檸檬 🍋
弓蕉	弓蕉 🍌
鳳梨	鳳梨 🍍
王梨	王梨 🍍
檨仔	檨仔 🥭
蘋果	蘋果 🍎
lìn-gòo	lìn-gòo 🍎
紅蘋果	紅蘋果 🍎
青蘋果	青蘋果 🍏
梨仔	梨仔 🍐
桃仔	桃仔 🍑
櫻桃	櫻桃 🍒
草莓	草莓 🍓
藍莓	藍莓 🫐
奇異果	奇異果 🥝
猴頭果	猴頭果 🥝
柑仔蜜	柑仔蜜 🍅
橄欖	橄欖 🫒
椰子	椰子 🥥
酪梨	酪梨 🥑
茄仔	茄仔 🍆
馬鈴薯	馬鈴薯 🥔
紅菜頭	紅菜頭 🥕
にんじん	にんじん 🥕
番麥	番麥 🌽
薟椒仔	薟椒仔 🌶
